trialNum,numTeachers,numAssessments,numExamples,teacherMu,exponent,simType,IG
0,10,0,10,0.6,0.9,sortedUncertainTeachers,60.74115025562666
0,10,0,10,0.6,0.9,unsortedPerfectTeachers,72.70622080500935
0,10,0,10,0.6,0.9,sortedPerfectTeachers,125.21926540991315
0,10,0,10,0.6,1.0,unsortedNaiveTeachers,67.11408080286382
0,10,0,10,0.6,1.0,unsortedUncertainTeachers,64.08712378950129
0,10,0,10,0.6,1.0,sortedUncertainTeachers,64.0871237895013
0,10,0,10,0.6,1.0,unsortedPerfectTeachers,81.60048448479509
0,10,0,10,0.6,1.0,sortedPerfectTeachers,139.70944510870757
0,10,0,10,0.6,1.1,unsortedNaiveTeachers,79.35394879097632
0,10,0,10,0.6,1.1,unsortedUncertainTeachers,67.93417737895882
0,10,0,10,0.6,1.1,sortedUncertainTeachers,67.93417737895882
0,10,0,10,0.6,1.1,unsortedPerfectTeachers,92.41396666114973
0,10,0,10,0.6,1.1,sortedPerfectTeachers,156.62982659295716
0,10,0,10,0.6,1.2,unsortedNaiveTeachers,75.86513734542852
0,10,0,10,0.6,1.2,unsortedUncertainTeachers,72.32652272490374
0,10,0,10,0.6,1.2,sortedUncertainTeachers,72.32652272490375
0,10,0,10,0.6,1.2,unsortedPerfectTeachers,105.40154722184292
0,10,0,10,0.6,1.2,sortedPerfectTeachers,176.4255780177983
0,1,0,10,0.7,0.8,unsortedNaiveTeachers,23.872943277304934
0,1,0,10,0.7,0.8,unsortedUncertainTeachers,77.95831006999877
0,1,0,10,0.7,0.8,sortedUncertainTeachers,77.95831006999879
0,1,0,10,0.7,0.8,unsortedPerfectTeachers,106.74030681930537
0,1,0,10,0.7,0.8,sortedPerfectTeachers,106.74030681930543
0,1,0,10,0.7,0.9,unsortedNaiveTeachers,116.65969969903628
0,1,0,10,0.7,0.9,unsortedUncertainTeachers,85.07321666049232
0,1,0,10,0.7,0.9,sortedUncertainTeachers,85.07321666049235
0,1,0,10,0.7,0.9,unsortedPerfectTeachers,125.88172838634598
0,1,0,10,0.7,0.9,sortedPerfectTeachers,125.88172838634596
0,1,0,10,0.7,1.0,unsortedNaiveTeachers,133.06552440692542
0,1,0,10,0.7,1.0,unsortedUncertainTeachers,93.26377508184905
0,1,0,10,0.7,1.0,sortedUncertainTeachers,93.26377508184902
